port_type,port_name,count
origin,Escoumains,6
origin,Hong Kong,6
origin,N. York,6
origin,Dronthiem,6
origin,F’shald,6
origin,Grindstone Island,5
origin,Koping,5
origin,Order,5
origin,Hamburgh,5
origin,Santa Anna,5
origin,Christianstad,5
origin,Muhlgraben,5
origin,Pont Neuf,5
origin,"Darien, Ga.",5
origin,Storfors,5
origin,Wifsta,5
origin,Freigo,5
origin,Santos,5
origin,"St. John, N B",5
origin,Port Blakely,5
origin,Guernsey,5
origin,Pierreville,5
origin,Sanda,5
origin,Puerto Cortez,5
origin,La Trinite,5
origin,Christensen,5
origin,Riga-deals & ends,5
origin,Gothenburg-battens,5
origin,Kaipara,5
origin,Yttersfors,5
origin,Rosso,5
origin,Punta Arenas,5
origin,Assinee,5
origin,St. Simon's,5
origin,Lilla Vartan,5
origin,Landgangen,5
origin,Lubeck,5
origin,"Kramfors-deals, &c.",5
origin,"Belize-mahogany, &c.",5
origin,Danzig-a quantity of round wood,5
origin,Weymouth,5
origin,Cristinestad,5
origin,Ljusne-deals,5
origin,"Skonvik-deals, &c.",5
origin,Christiania-boards,5
origin,Gefle-firewood,5
origin,Gefle-boards,5
origin,"Norfolk, Va",5
origin,Summerside,5
origin,"Portland, Me",5
origin,"Parrsborough, N.S.",5
origin,Norkoping,5
origin,Wifsta Warf,5
origin,Hernosand-deals,5
origin,Arendal-timber,5
origin,Taganrog,5
origin,Riga-battens,5
origin,Sundswall-staves,5
origin,Oak Bay,5
origin,Johannedal,5
origin,"Bangor, Me.",5
origin,Villa garcia,5
origin,"Hopewell Cape, N.B.",5
origin,Kungsgarden,5
origin,Bordeaux-qty. pitwood,5
origin,Wiener,5
origin,Riisoer,5
origin,Dort,5
origin,San Domingo,5
origin,Kallero,5
origin,Port Blair,5
origin,Montego Bay,5
origin,Portland (Me.),5
origin,Wyburg-deals,5
origin,Stettin-oak staves,5
origin,Quebec-timber,5
origin,St. Mary's,5
origin,Horten,5
origin,Mauritius,5
origin,Faon,5
origin,Mesquer,5
origin,Fredrickshald,5
origin,Marin,5
origin,Ekenas,5
origin,Hobart Town,5
origin,Vigo,5
origin,Throndhjem,5
origin,"Montreal, &c.",5
origin,La Roche Bernard,5
origin,Hillsborough,5
origin,Repola,5
origin,"Nyhamn-deals, &c.",5
origin,"Sherbrooke, N.S.",5
origin,Fredriksta,5
origin,Cispata,5
origin,Bolestrand,5
origin,Larvig,5
origin,Egersund,5
origin,"Portland, Oregon",5
origin,Saltkallan,5
origin,"Oak Bay, N.B.",5
origin,"Soroka-deals, &c.",5
origin,Bjorneborg-staves,5
origin,Halmstadt-pit props,5
origin,Levanger,5
origin,Skonvik-firewood,5
origin,Nyhamn-deals,5
origin,"Danzig-tim., staves",5
origin,Picton,5
origin,Dalkarlsa,5
origin,Skjoldvik,5
origin,Rendsburg,4
origin,Hennebout,4
origin,Bassein,4
origin,Chalmers,4
origin,"Drammen-boards, &c.",4
origin,Skonvik-deals,4
origin,Christiania and Gothenburg,4
origin,Sundal,4
origin,Leque,4
origin,Liscomb,4
origin,Oscarhamn,4
origin,Ursvik,4
origin,Sprangviken,4
origin,Udevalla,4
origin,Ostende,4
origin,Northport,4
origin,"Moser River, N.S.",4
origin,"Parrsboro, N.S.",4
origin,Launay,4
origin,R. Bernard,4
origin,Nantes and Bordeaux,4
origin,Halsoen,4
origin,Black River,4
origin,Arendal-props,4
origin,Krageroe-props,4
origin,Filtvedt,4
origin,Gothenborg,4
origin,Para,4
origin,Churchill & Sim,4
origin,Levo,4
origin,Africa,4
origin,West Coast of Africa,4
origin,Hangesund,4
origin,Mariehill,4
origin,Hernosan,4
origin,Norsholm,4
origin,"Riga-lathwood, &c.",4
origin,"Montreal-deals, &c.",4
origin,St. P'burg-lathwood,4
origin,Swartwick-deals,4
origin,"Pitea-deals, &c.",4
origin,Quebec-staves,4
origin,Belize-mahogany,4
origin,Gefle-deals & boards,4
origin,"Metis-deals, &c.",4
origin,"Quebec-timber, deals",4
origin,"G'burg-props, laths",4
origin,Cronstadt-deals and ends,4
origin,Stettin-timber,4
origin,Wyburg-boards,4
origin,Bangor (at Bowling),4
origin,Puebla del Caraminal,4
origin,"Alma, N.B.",4
origin,Mayumba,4
origin,Yokohama,4
origin,Cabarete,4
origin,Tupilco,4
origin,Gothenburg-quantity pit-props,4
origin,Soraker,4
origin,Naske,4
origin,Skutakar,4
origin,Ratan,4
origin,Pernaviken,4
origin,Kiel,4
origin,Vancouver's Island,4
origin,Mo.,4
origin,Order; from Laurvig,4
origin,Orkedalen,4
origin,La Plata,4
origin,"Guysboro', N.S.",4
origin,Nykoping,4
origin,Richibucto-deals,4
origin,Neder Kalix-battens,4
origin,Langror-deals,4
origin,Lulea-deals,4
origin,Libreville,4
origin,"Portland, Or.",4
origin,Trangesund,4
origin,Cronstadt-dls.,4
origin,Sandefjord-props,4
origin,North,4
origin,Rio Hacha,4
origin,Limerick,4
origin,Gamla Karleby,4
origin,"Bangor, U.S.",4
origin,"West Bay, U.S.",4
origin,Finland,4
origin,Altona,4
origin,Metane,4
origin,Wolgast,4
origin,Harnosand,4
origin,Wicklow,4
origin,Tredestrand,4
origin,Bermuda,4
origin,Carlstad,4
origin,Bordeaux-750 lds. pitwood,4
origin,Snaeroen,4
origin,Parrsboro’,4
origin,Gustafshamn,4
origin,Soderham,4
origin,Konigsburg,4
origin,Frederickshald,4
origin,Areachon,4
origin,Jakobstad,4
origin,Sundswall-timber,4
origin,Pitea-battens,4
origin,"Gefle-battens, boards",4
origin,Monsteras-pit props,4
origin,Uddevalla-props,4
origin,Nyvik-battens,4
origin,"Archangel-dls., &c.",4
origin,"Caraquet, N.B.",4
origin,Montreal & Quebec,4
origin,Husbyvik,4
origin,Skutekar,4
origin,Nynhamn,4
origin,Abus,4
origin,Halmstadt-quantity pit-props,4
origin,Hayti,4
origin,Sault au Cochon,4
origin,Sundarne,4
origin,"Riga-sleepers, lathwood",4
origin,Figeholm-props,4
origin,Gothenburg-laths,4
origin,Christiansand-staves,4
origin,"Quebec-oak, &c.",4
origin,Ness,4
origin,Stavarf,4
origin,Chama,4
origin,Tampico,4
origin,"St. Thomas, Canada",4
origin,Thisted,4
origin,"Skutskar-deals, &c.",4
origin,"Halifax, US",4
origin,Port Townsend,4
origin,Nykjobing,4
origin,Varberg,4
origin,Gefle & Stockholm,4
origin,N.B.,4
origin,Holmstrand-props,4
origin,"Bangor, U.S.A.",4
origin,Calais,4
origin,"Wifstawarf-deals, &c.",4
origin,"Quebec-deals, ends",4
origin,Cronstadt-deals and battens,4
origin,Surinam,4
origin,Norrkopping,4
origin,Lake Wettern,4
origin,Nybamn,4
origin,Eatonville,4
origin,"St. John, N.B.,",4
origin,Montreal-deals,4
origin,"Jordan River, N.S.",4
origin,Gaboon,4
origin,Lake Wetter,4
origin,Cap Lopez,4
origin,Porsgrund-pit props,4
origin,Oscarsham-props,4
origin,Tonsberg-props,4
origin,G'burg-pit props,4
origin,Poole,4
origin,Barnstaple,4
origin,Abo-deals,4
