origin,destination,year,shipments
Kragero,Tyne Ports,1881,26
Montreal,London,1887,26
New York,Leith,1891,26
New York,Liverpool,1875,26
Pensacola,Liverpool,1885,26
Riga,Alloa,1887,26
Riga,Dundee,1891,26
Riga,Grangemouth,1875,26
Riga,Granton,1874,26
Riga,Middlesbrough,1883,26
Riga,Newcastle upon Tyne,1877,26
Rotterdam,Belfast,1895,26
Rotterdam,Leith,1897,26
Stettin,Hartlepool (West),1885,26
Stettin,Sunderland,1881,26
Sundswall,Hartlepool (West),1895,26
Sundswall,Hull,1889,26
Ventspils,Borrowstounness,1895,26
Auray,Cardiff,1887,25
Bjorneborg,Hull,1874,25
Bordeaux,Cardiff,1884,25
Bordeaux,Swansea,1897,25
Boston,Glasgow,1889,25
Christiania,Hull,1891,25
Christiania,Tyne Ports,1891,25
Cronstadt,Grangemouth,1883,25
Cronstadt,Hull,1887,25
Cronstadt,Leith,1874,25
Cronstadt,Montrose,1889,25
Danzig,Hartlepool (West),1877,25
Danzig,Sunderland,1895,25
Drammen,Borrowstounness,1889,25
Drammen,Grangemouth,1874,25
Drammen,London,1875,25
Falkenberg,Alloa,1883,25
Fredrikstad,Liverpool,1887,25
Fredrikstad,Liverpool,1895,25
Halifax,Liverpool,1899,25
Hamburg,Liverpool,1897,25
Hamburg,Sunderland,1897,25
Kotka,London,1883,25
Kotka,London,1889,25
Laurvig,Borrowstounness,1883,25
Liepāja,Hull,1889,25
Liepāja,Hull,1899,25
Miramichi,Belfast,1881,25
Montreal,London,1885,25
New York,Bristol,1885,25
New York,Bristol,1895,25
New York,Hull,1893,25
New York,Leith,1885,25
New York,Liverpool,1874,25
Newport News,London,1899,25
Oscarshamn,Hartlepool (West),1877,25
Oscarshamn,Hartlepool (West),1881,25
Pensacola,Cardiff,1889,25
Philadelphia,Liverpool,1893,25
Portland,London,1899,25
Quebec City,Bristol,1879,25
Quebec City,Greenock,1891,25
Quebec City,Liverpool,1895,25
Riga,Borrowstounness,1874,25
Riga,Borrowstounness,1891,25
Riga,Leith,1887,25
Riga,Sunderland,1877,25
Saint-Brieuc,Cardiff,1881,25
St. John,Liverpool,1897,25
Sundswall,Newcastle upon Tyne,1877,25
Ventspils,Borrowstounness,1893,25
Bollsta,Montrose,1883,24
Boston,Glasgow,1891,24
Brevig,Grimsby,1891,24
Christiania,London,1895,24
Christiansand,Borrowstounness,1889,24
Cronstadt,Hull,1893,24
Cronstadt,Hull,1897,24
Cronstadt,Hull,1899,24
Cronstadt,Leith,1887,24
Danzig,Hull,1885,24
Dordrecht,Tyne Ports,1883,24
Falkenberg,Borrowstounness,1887,24
Fredrikstad,Tyne Ports,1895,24
Gefle,Hull,1879,24
Gefle,Hull,1887,24
Gefle,London,1883,24
Gefle,London,1885,24
Gefle,London,1887,24
Gothenburg,Liverpool,1899,24
Gothenburg,London,1875,24
Halmstad,Borrowstounness,1899,24
Jakobstad,Hull,1887,24
Konigsberg,London,1879,24
Montreal,London,1889,24
Norfolk,Liverpool,1889,24
Norfolk,Liverpool,1893,24
Oscarshamn,Newcastle upon Tyne,1877,24
Portland,Liverpool,1897,24
Quebec City,Greenock,1887,24
Quebec City,Hull,1874,24
Quebec City,Newcastle upon Tyne,1877,24
Riga,Borrowstounness,1889,24
Riga,Borrowstounness,1893,24
Riga,Dublin,1885,24
Riga,Leith,1891,24
Riga,Leith,1897,24
Riga,Liverpool,1885,24
Riga,Middlesbrough,1887,24
Risoer,Hull,1887,24
Sundswall,Dundee,1874,24
Sundswall,Dundee,1883,24
Sundswall,Grangemouth,1883,24
Sundswall,Plymouth,1881,24
Trieste,Liverpool,1885,24
Vannes,Cardiff,1881,24
Vilagarcía de Arousa,Cardiff,1893,24
Archangel,London,1885,23
Arendal,Cardiff,1883,23
Arendal,Hull,1883,23
Baltimore,Glasgow,1897,23
Bjorneborg,London,1879,23
Boston,Glasgow,1895,23
Boston,Glasgow,1897,23
Boston,London,1887,23
Boston,London,1889,23
Boston,London,1893,23
Bremen,London,1885,23
Buenos Aires,Le Havre,1891,23
Christiania,London,1874,23
Christiansand,Borrowstounness,1879,23
Cronstadt,Dundee,1883,23
Cronstadt,Dundee,1889,23
Cronstadt,Dundee,1899,23
Cronstadt,Granton,1889,23
Cronstadt,London,1875,23
Danzig,Grimsby,1881,23
Danzig,Hartlepool (West),1881,23
Danzig,Hartlepool (West),1893,23
Danzig,Hull,1899,23
Danzig,London,1893,23
Gothenburg,Cardiff,1897,23
Gothenburg,Hartlepool (West),1879,23
Gothenburg,Liverpool,1897,23
Halden,Borrowstounness,1889,23
Hernosand,Hartlepool (West),1899,23
Hudikswall,Hull,1895,23
Klaipeda,Hartlepool (West),1881,23
Klaipeda,Hartlepool (West),1889,23
Klaipeda,Tyne Ports,1875,23
Laurvig,Tyne Ports,1885,23
Montreal,Bristol,1899,23
New York,Hull,1889,23
Newport News,Liverpool,1899,23
Philadelphia,Glasgow,1885,23
Philadelphia,Liverpool,1897,23
Riga,Alloa,1889,23
Riga,Grangemouth,1897,23
Rotterdam,Belfast,1897,23
Rotterdam,Tyne Ports,1895,23
St. John,Liverpool,1895,23
Sundswall,Grangemouth,1885,23
Sundswall,Hull,1899,23
Tvedestrand,Tyne Ports,1899,23
Auray,Newport,1899,22
Bayonne,Swansea,1887,22
Bergkvara,Hartlepool (West),1897,22
Bjorneborg,Tyne Ports,1889,22
Brevig,Hartlepool (West),1883,22
Christiania,Alloa,1891,22
Christiania,Grangemouth,1877,22
Christiania,Hull,1893,22
Christiania,London,1893,22
Cronstadt,Grangemouth,1889,22
Danzig,Hartlepool (West),1891,22
Danzig,London,1891,22
Danzig,Sunderland,1891,22
Fredrikstad,Liverpool,1885,22
Gefle,Hartlepool (West),1883,22
Gefle,London,1881,22
Gothenburg,Granton,1883,22
Gothenburg,Granton,1885,22
Gothenburg,Granton,1897,22
Gothenburg,Grimsby,1893,22
Halmstad,Borrowstounness,1895,22
Halmstad,Hartlepool (West),1889,22
Halmstad,Hartlepool (West),1895,22
Halmstad,Sunderland,1889,22
Hamburg,Hartlepool,1899,22
Hamburg,Liverpool,1891,22
Hamburg,Liverpool,1899,22
Holmestrand,Sunderland,1889,22
Klaipeda,Hartlepool (West),1879,22
Konigsberg,Alloa,1881,22
Kotka,London,1895,22
Laurvig,Tyne Ports,1875,22
Marseille,Le Havre,1891,22
New York,Le Havre,1891,22
Newport News,Liverpool,1895,22
Oscarshamn,Hull,1885,22
Pauillac,Swansea,1889,22
