destination,commodity_form,year,shipments
Greenock,staves,1874,64
Hartlepool (West),deals,1899,64
Hull,timber,1897,64
Hull,wood,1889,64
Leith,wood,1881,64
London,doors,1885,64
London,wood,1881,64
Newport,pit props,1897,64
Tyne Ports,sleepers,1889,64
Grimsby,deals,1883,63
Grimsby,sleepers,1889,63
Hartlepool (West),boards,1891,63
Hartlepool (West),sleepers,1897,63
Hull,timber,1887,63
Leith,staves,1885,63
Liverpool,scantlings,1891,63
Liverpool,scantlings,1893,63
Liverpool,scantlings,1895,63
London,laths,1887,63
London,oars,1883,63
London,wood,1874,63
Newport,pit props,1899,63
Tyne Ports,battens,1891,63
Greenock,deals,1889,62
Grimsby,boards,1897,62
Hull,laths,1883,62
Liverpool,handles,1885,62
London,battens,1875,62
London,logs,1883,62
London,sleepers,1895,62
London,wood,1885,62
Newcastle upon Tyne,timber,1877,62
Tyne Ports,hoops,1889,62
Cardiff,pit props,1889,61
Glasgow,deals,1874,61
Gloucester,deals,1891,61
Hartlepool (West),boards,1893,61
Hartlepool (West),pit props,1874,61
Hartlepool (West),timber,1875,61
Hull,battens,1875,61
Hull,laths,1881,61
Hull,lathwood,1883,61
Hull,staves,1893,61
Leith,hoops,1881,61
Liverpool,sleepers,1899,61
London,ends,1895,61
London,logs,1881,61
London,mouldings,1897,61
Tyne Ports,mining timber,1881,61
Tyne Ports,sleepers,1899,61
Yarmouth,deals,1889,61
Belfast,deals,1881,60
Belfast,deals,1897,60
Grangemouth,pit props,1877,60
Greenock,deals,1885,60
Hull,laths,1891,60
Hull,mining timber,1895,60
Liverpool,deal ends,1897,60
Liverpool,pit props,1885,60
Liverpool,pit props,1891,60
MANCHESTER,pit props,1899,60
Montrose,battens,1883,60
Swansea,pit props,1893,60
WISBECH,deals,1881,60
Bristol,boards,1899,59
Dublin,deals,1885,59
Dublin,deals,1887,59
Dundee,deals,1895,59
Glasgow,logs,1893,59
Grangemouth,ends,1885,59
Grangemouth,ends,1889,59
Grimsby,battens,1885,59
Grimsby,pit props,1897,59
Hartlepool (West),boards,1887,59
Hartlepool (West),timber,1877,59
Liverpool,battens,1881,59
Liverpool,palings,1881,59
Liverpool,pit props,1897,59
Liverpool,spokes,1885,59
Liverpool,squares,1895,59
Liverpool,wood,1881,59
London,deal ends,1889,59
London,doors,1897,59
Tyne Ports,hoops,1893,59
Tyne Ports,mining timber,1889,59
Tyne Ports,staves,1889,59
Tyne Ports,timber,1897,59
WISBECH,deals,1883,59
Bristol,deals,1895,58
Dundee,battens,1885,58
Grimsby,sleepers,1883,58
Hull,laths,1885,58
Kirkcaldy,pit props,1897,58
Montrose,battens,1889,58
Tyne Ports,boards,1891,58
Belfast,deals,1899,57
Dundee,deals,1883,57
Glasgow,boards,1897,57
Gloucester,deals,1893,57
Grimsby,deals,1887,57
Grimsby,pit props,1893,57
Hull,laths,1893,57
Hull,staves,1883,57
London,ends,1897,57
London,mouldings,1887,57
Sunderland,deals,1893,57
Sunderland,sleepers,1883,57
Belfast,deals,1887,56
Bristol,deals,1891,56
Glasgow,logs,1891,56
Glasgow,lumber,1885,56
Grimsby,boards,1885,56
Grimsby,sleepers,1899,56
Hartlepool (West),sleepers,1887,56
Hartlepool (West),timber,1874,56
Hull,battens,1874,56
Hull,ends,1885,56
Hull,timber,1895,56
Hull,wood,1874,56
King's Lynn,battens,1881,56
Liverpool,boards,1875,56
Liverpool,deal ends,1895,56
Liverpool,spokes,1889,56
London,ends,1875,56
London,flooring,1889,56
London,rickers,1887,56
Newcastle upon Tyne,staves,1879,56
WISBECH,deals,1889,56
Yarmouth,deals,1887,56
Grimsby,battens,1893,55
Grimsby,timber,1881,55
Kirkcaldy,pit props,1889,55
Leith,lathwood,1883,55
Liverpool,ends,1874,55
London,boxboards,1899,55
London,logs,1893,55
London,staves,1875,55
Methil,pit props,1895,55
Tyne Ports,sleepers,1895,55
Belfast,hoops,1889,54
Bristol,boards,1889,54
Dundee,battens,1883,54
Grimsby,laths,1897,54
Grimsby,pit props,1899,54
Hartlepool (West),battens,1879,54
Hartlepool (West),sleepers,1875,54
Hull,rickers,1874,54
Liverpool,hoops,1885,54
Liverpool,lumber,1885,54
Liverpool,scantlings,1875,54
London,deal ends,1885,54
London,doors,1895,54
London,laths,1891,54
London,timber,1893,54
Sunderland,deals,1899,54
Tyne Ports,sleepers,1885,54
Tyne Ports,timber,1881,54
WISBECH,deals,1887,54
Yarmouth,deals,1885,54
Dundee,deals,1891,53
Glasgow,wood,1897,53
