merchant,destination,year,shipments
R. Dah,London,1885,1
R. Dahl,,1881,1
R. Dahl,,1899,1
R. Dahl,London,1883,1
R. Dahl,London,1889,1
R. Dahl,London,1893,1
R. Dahl,London,1895,1
R. Dahl & Co.,,1887,1
R. Dahl & Co.,,1899,1
R. Dahl & Co.,London,1883,1
R. Dahl & Co.,London,1885,1
R. Dahl & Co.,London,1889,1
R. Dahl & Co.,London,1899,1
R. Dahl & Co.,Middlesbrough,1897,1
R. Daniel & Sons,BEAUMARIS,1883,1
R. Davidson,Aberdeen,1887,1
R. Davidson,Aberdeen,1891,1
R. Davidson,Aberdeen,1893,1
R. Davie,Greenock,1897,1
R. Davies,,1899,1
R. Davies,BEAUMARIS,1883,1
R. Davies & Son,BEAUMARIS,1881,1
R. Davies & Son,BEAUMARIS,1883,1
R. Davies & Son,Barrow-in-Furness,1881,1
R. Denniston & Co.,Glasgow,1874,1
R. Denniston & Co.,Glasgow,1875,1
R. Dobell & Co.,Liverpool,1899,1
R. Dobell & Co.,Milford Haven,1885,1
R. Dodds,Middlesbrough,1887,1
R. Douthwaite,,1897,1
R. Driver,Southampton,1895,1
R. Duncan & Jamieson,Leith,1899,1
R. Dunn,FOWEY,1899,1
R. Durell,,1889,1
R. Durell,,1893,1
R. Durell,Bristol,1893,1
R. Durell,GRAVESEND,1889,1
R. Durell,LOWESTOFT,1889,1
R. Durell,London,1889,1
R. Durell,London,1891,1
R. Durell,Plymouth,1891,1
R. Durell,Swansea,1893,1
R. Durell,Truro,1895,1
R. Durell & Co.,,1897,1
R. Durell & Co.,,1899,1
R. Durrant,GRAVESEND,1889,1
R. Durrell,London,1889,1
R. Durrell,London,1893,1
R. Durrell,London,1897,1
R. E. Christian,DOUGLAS,1889,1
R. E. F. Robinson,Grangemouth,1877,1
R. E. Kinsman,London,1897,1
R. E. Peck,Liverpool,1895,1
R. E. Peck & Co.,Liverpool,1895,1
R. E. Peck & Co.,Liverpool,1896,1
R. E. Walin,Belfast,1899,1
R. Edbrooke,Bristol,1889,1
R. Edgar & Co.,Grangemouth,1885,1
R. Evan & Co.,Hartlepool (West),1877,1
R. F. Dowdeswell,London,1893,1
R. F. Glover & Co.,Grimsby,1877,1
R. F. Napier & Co.,,1887,1
R. F. Robinson,Grangemouth,1877,1
R. F. Robinson,Grimsby,1879,1
R. Farrell,Cork,1883,1
R. Farrell,London,1889,1
R. Fenwick,Swansea,1889,1
R. Foley,COWES,1891,1
R. Foley,Cork,1881,1
R. Foley,Cork,1885,1
R. Foy & Co.,,1897,1
R. Fraser,Wick,1881,1
R. G. Barnes & Grigg,Bristol,1887,1
R. G. Cullum,NEWHAVEN,1897,1
R. G. Dunleigh & Sons,Liverpool,1899,1
R. G. Frampton,Liverpool,1881,1
R. G. Hansen,,1891,1
R. G. Jamieson,Aberdeen,1883,1
R. G. Jones,Aberystwyth,1893,1
R. G. Smith,Glasgow,1881,1
R. G. Smith,Grangemouth,1881,1
R. Garrard & Co.,London,1897,1
R. Gate & Co.,Liverpool,1895,1
R. Gazard,Gloucester,1883,1
R. Gething,Montrose,1891,1
R. Gething,Newport,1884,1
R. Gething,Newport,1889,1
R. Gething,Newport,1897,1
R. Gething & Co.,NEWHAVEN,1893,1
R. Gething & Co.,Newport,1881,1
R. Gething & Co.,Newport,1885,1
R. Gething & Co.,Newport,1887,1
R. Gething & Co.,Newport,1889,1
"R. Gething, Son & Co.",Newport,1881,1
"R. Gething, jun",Montrose,1891,1
"R. Gething, jun",Newport,1889,1
"R. Gething, jun",Newport,1891,1
"R. Gething, jun",Newport,1895,1
"R. Gething, jun., & Co.",,1883,1
"R. Gething, jun., & Co.",,1887,1
"R. Gething, jun., & Co.",Newport,1881,1
"R. Gething, jun., & Co.",Newport,1884,1
"R. Gething, jun., & Co.",Newport,1887,1
"R. Gething, jun., & Co.",Newport,1897,1
"R. Gething, junr., & Co.",Dublin,1898,1
"R. Gething, junr., & Co.",Newport,1883,1
"R. Gething, junr., & Co.",Newport,1898,1
R. Goodman,London,1875,1
R. Gordon & Co.,Hartlepool (West),1883,1
"R. Gothing, junr., & Co.",Newport,1883,1
R. Gozard,Gloucester,1881,1
R. Gozard,Grimsby,1881,1
R. Grandidge,,1887,1
R. Grandidge,,1889,1
R. Grandidge,,1895,1
R. Grandidge,Boston,1897,1
R. Grandidge,Bristol,1885,1
R. Grandidge,Chester,1893,1
R. Grandidge,Chester,1897,1
R. Grandidge,Hull,1899,1
R. Grandidge,Liverpool,1881,1
R. Grandidge,Liverpool,1892,1
R. Grandidge,Liverpool,1893,1
R. Grandidge,London,1889,1
R. Grandidge,London,1891,1
R. Greenwell,Sunderland,1881,1
R. Greenwell,Sunderland,1883,1
R. Greenwell & Son,Sunderland,1881,1
R. Greenwell & Son,Sunderland,1883,1
R. Gulstad & Co.,Borrowstounness,1881,1
R. H,,1885,1
R. H,London,1875,1
R. H. Dahill,,1874,1
R. H. Dahl,,1874,1
R. H. Dahl,,1895,1
R. H. Dahl,Bristol,1879,1
R. H. Dahl,Glasgow,1875,1
R. H. Dahl,Leith,1875,1
R. H. Dahl,Liverpool,1881,1
R. H. Dahl,London,1874,1
R. H. Dahl,London,1875,1
R. H. Dahl,London,1881,1
R. H. Dahl,London,1885,1
R. H. Dahl,London,1897,1
R. H. Dahl,Swansea,1893,1
R. H. Dahl & Co.,,1875,1
R. H. Dahl & Co.,,1879,1
R. H. Dahl & Co.,,1885,1
R. H. Dahl & Co.,,1893,1
R. H. Dahl & Co.,,1899,1
R. H. Dahl & Co.,Bristol,1893,1
R. H. Dahl & Co.,LOWESTOFT,1889,1
R. H. Dahl & Co.,Leith,1875,1
R. H. Dahl & Co.,Liverpool,1881,1
R. H. Dahl & Co.,Liverpool,1897,1
R. H. Dahl & Co.,London,1879,1
R. H. Dahl & Co.,London,1890,1
R. H. Dahl & Co.,London,1897,1
R. H. Dahl & Co.,London,1899,1
R. H. Dahl & Co.,Southampton,1885,1
R. H. Dahl & Co.,Tyne Ports,1895,1
R. H. Dahll & Co.,London,1874,1
R. H. Dahll & Co.,London,1875,1
R. H. Dessen & Co.,,1893,1
R. H. Jones,Weymouth,1899,1
R. H. Mitchell & Co.,Leith,1881,1
R. H. Penney,Shoreham,1881,1
R. H. Penney,Shoreham,1895,1
R. H. Penney,WISBECH,1887,1
R. H. Penney & Sons,Shoreham,1898,1
R. H. Penny,Poole,1887,1
R. H. Penny,Shoreham,1883,1
R. H. Penny,Shoreham,1885,1
R. H. Penny,Shoreham,1890,1
R. H. Penny,Shoreham,1891,1
R. H. Penny & Sons,Hull,1895,1
R. H. Penny & Sons,Liverpool,1895,1
R. H. Penny & Sons,Shoreham,1895,1
R. H. Williams & Co.,London,1895,1
R. Hamilton,,1889,1
R. Hamilton,Dundee,1893,1
R. Hamilton,Glasgow,1891,1
R. Hamilton,Glasgow,1893,1
R. Hamilton & Co.,,1889,1
R. Hamilton & Co.,Glasgow,1897,1
R. Hamilton & Co.,Leith,1897,1
R. Hamilton & Co. & to order,Glasgow,1895,1
R. Hammond & Co.,LERWICK,1887,1
R. Harrison,Hull,1879,1
R. Harrison,Liverpool,1897,1
R. Harrison & Co.,Hull,1879,1
R. Harrison & Co.,Hull,1881,1
R. Harvey,Yarmouth,1881,1
R. Harvey,Yarmouth,1885,1
R. Haught[?],Cork,1893,1
R. Haughton & Co.,Cork,1897,1
R. Henderson,London,1891,1
R. Herrlich,London,1881,1
R. Herzke,Grimsby,1877,1
R. Herzke,Grimsby,1885,1
R. Hewitt,Hull,1897,1
R. Hewitt & Co.,Ipswich,1891,1
R. Hill & Co.,,1899,1
R. Hindlaugh,Sunderland,1877,1
R. Hodgens,Cardiff,1891,1
R. Honsberg & Co.,,1897,1
R. Hooper,Cardiff,1879,1
R. Hopwood,Newport,1881,1
R. Hudson & Co.,Sunderland,1899,1
R. Hudson & Son,Sunderland,1877,1
R. Hudson & Sons,Sunderland,1877,1
R. Hughes & Lancaster,Chester,1887,1
R. Hynes,Galway,1889,1
R. I. Francis & Co.,Liverpool,1897,1
R. Irvine & Co.,,1877,1
R. Isaacson & Co.,Leith,1875,1
R. J. & C. T. P,King's Lynn,1887,1
R. J. Crossfield,Barrow-in-Furness,1881,1
R. J. Francis & Co.,Liverpool,1885,1
R. J. Francis & Co.,Liverpool,1899,1
R. J. Treby & Co.,Plymouth,1895,1
R. J. Treeby & Co.,Plymouth,1895,1
R. James Leo,Newport,1883,1
R. Jamson & Co.,Aberdeen,1897,1
R. Jewson,Yarmouth,1899,1
R. Jewson & Sons,Tyne Ports,1899,1
R. John Martin & Co.,Dublin,1891,1
R. Johnson,Belfast,1883,1
R. Johnston,Belfast,1881,1
R. Johnston,Belfast,1884,1
R. Johnston,Belfast,1887,1
R. Johnston,Belfast,1889,1
R. Johnston,Belfast,1893,1
R. Johnston,Belfast,1898,1
R. Jones & Co.,Liverpool,1900,1
R. Keys & Co.,Londonderry,1895,1
R. Keys & Co.,Londonderry,1899,1
"R. Kirker, Robb, & Co.",Belfast,1897,1
R. L. Allport,,1881,1
R. L. Alpine & Co.,Ardrossan,1889,1
R. L. Dahl & Co.,London,1874,1
R. L. Manners,EXETER,1883,1
R. Laing,Leith,1881,1
"R. Lander & Sons, & Co.",Hartlepool (West),1877,1
R. Langford,QUEENBOROUGH,1887,1
R. Langford & Son,PADSTOW,1881,1
R. Lauder,,1885,1
R. Lauder,,1889,1
R. Lauder,Hartlepool,1889,1
R. Lauder,Hartlepool (West),1879,1
R. Lauder,Hartlepool (West),1895,1
R. Lauder,Hartlepool (West),1897,1
R. Lauder & Co.,Hartlepool,1895,1
R. Lauder & Co.,Hartlepool,1899,1
R. Lauder & Co.,Hartlepool,1900,1
R. Lauder & Co.,Hartlepool (West),1874,1
R. Lauder & Co.,Hartlepool (West),1877,1
R. Lauder & Co.,Hartlepool (West),1890,1
R. Look & Co.,,1895,1
R. Lorentzen,London,1887,1
R. Lorentzen,Sunderland,1885,1
"R. M'Cully, & Co.",Liverpool,1891,1
R. M. Budd & Co.,Newport,1887,1
R. M. Co.,Southampton,1895,1
R. M. Cowen,Tralee,1895,1
R. M. Cowen & Sons,Tralee,1883,1
R. M. Cowen & Sons,Tralee,1887,1
R. M. Cowen & Sons,Tralee,1891,1
R. M. Cowen & Sons,Tralee,1895,1
R. M. Cowen & Sons,Tralee,1897,1
R. M. Cox & Co.,Liverpool,1889,1
R. M. Duncan & Son,Dundee,1881,1
R. M. S. Packet Co.,London,1881,1
R. M. Steam Packet Co.,Newport,1895,1
R. M. Waren & Son,Cork,1889,1
R. MacDonnell,Limerick,1889,1
R. MacDonnell,Limerick,1891,1
R. MacEan,Southampton,1885,1
R. Macdonald & Sons,Inverness,1899,1
R. Mackay,London,1879,1
R. Mackay & Co.,,1879,1
R. Mackill & Co.,Greenock,1883,1
R. Mail S.P. Co.,London,1899,1
R. Marshall,LANCASTER,1895,1
R. Martin,Dublin,1891,1
R. Martin,Dublin,1893,1
R. Martin,Dublin,1899,1
R. Martin,LOWESTOFT,1881,1
R. Martin,Tralee,1883,1
R. Martin & Co.,,1889,1
R. Martin & Co.,Cork,1893,1
R. Martin & Co.,Dublin,1886,1
R. Martin & Co.,Dublin,1890,1
R. Martin & Son,Dublin,1895,1
R. May & Churchill & Sim,Liverpool,1885,1
R. May & Co.,London,1885,1
R. May & Co.,London,1899,1
R. May & Son,London,1895,1
R. McAndrew & Co.,,1885,1
R. McAndrew & Co.,London,1885,1
R. McComan & Sons,Tralee,1883,1
"R. McConnell, & Co.",,1885,1
R. McCowen,Tralee,1881,1
R. McCowen & Sons,Tralee,1899,1
R. McDonald,Hull,1893,1
R. McDonnell,,1889,1
R. McGowan & Sons,Tralee,1895,1
R. McLean,Liverpool,1899,1
R. McLean,Liverpool,1900,1
R. McLean,London,1899,1
R. McRae,Maryport,1881,1
R. MeAndrews & Co.,London,1885,1
R. Melrose,Grangemouth,1875,1
R. Melville,,1883,1
R. Melville & Co.,,1874,1
R. Melville & Co.,,1885,1
R. Melville & Co.,Aberdeen,1895,1
R. Melville & Co.,Alloa,1895,1
R. Melville & Co.,Dundee,1897,1
R. Melville & Co.,Glasgow,1891,1
R. Melville & Co.,Grangemouth,1879,1
R. Melville & Co.,Greenock,1899,1
R. Melville & Co.,Leith,1889,1
R. Melville & Co.,Leith,1897,1
R. Melville & Co.,WISBECH,1881,1
R. Melville & Sons,Grangemouth,1899,1
R. Mercer,Rochester,1885,1
R. Michell,Truro,1881,1
R. Michell,Truro,1889,1
R. Michell & Son,Truro,1881,1
R. Michell & Son,Truro,1887,1
R. Michell & Sons,Truro,1883,1
R. Michell & Sons,Truro,1897,1
R. Michell & Sons,Truro,1899,1
R. Millar,Aberdeen,1893,1
R. Millar,Leith,1887,1
R. Millar,Montrose,1887,1
R. Millar,Montrose,1891,1
R. Millar,Montrose,1893,1
R. Millar,Montrose,1897,1
R. Millar & Co.,Aberdeen,1897,1
R. Millar & Sons,,1889,1
R. Millar & Sons,,1899,1
R. Millar & Sons,Aberdeen,1887,1
R. Millar & Sons,Kirkcaldy,1891,1
R. Millar & Sons,Leith,1889,1
R. Millar & Sons,Leith,1899,1
"R. Millar & Sons, Ltd.",Aberdeen,1900,1
R. Mitchell,Swansea,1893,1
R. Mitchell & Son,,1883,1
R. Mitchell & Son,Swansea,1885,1
R. Mitchell & Son,Swansea,1899,1
R. Mitchell & Son,Truro,1881,1
R. Mitchell & Son,Truro,1883,1
R. Mitchell & Son,Truro,1889,1
R. Morgan,Liverpool,1899,1
R. Morrow & Co.,Liverpool,1891,1
R. Morton & Co.,Alloa,1899,1
R. Mundy & Co.,London,1887,1
R. Neilsen,London,1891,1
R. Nicholson & Sons,Liverpool,1893,1
R. Noldson & Capper,Tyne Ports,1883,1
R. O. Grischotte,Grangemouth,1877,1
R. O. Grischotti,Grangemouth,1877,1
R. Owen,Fleetwood,1891,1
R. Owen & Co.,Liverpool,1897,1
R. P. Hall,Sunderland,1893,1
R. P. Moses,LANCASTER,1881,1
R. Park & Co.,,1875,1
R. Parker,Liverpool,1891,1
R. Parker & Co.,Bristol,1893,1
R. Parker & Co.,Liverpool,1891,1
R. Parker & Co.,Liverpool,1897,1
R. Pattison & Co.,London,1886,1
R. Paul,King's Lynn,1883,1
R. Pearse & Son,Bristol,1875,1
R. Pearse & Son,Bristol,1876,1
R. Pearse & Sons,Bristol,1881,1
R. Pedersen,Gloucester,1885,1
R. Pedersen,Gloucester,1895,1
R. Penney,,1893,1
R. Penney,Shoreham,1893,1
R. Penney,Shoreham,1895,1
R. Pethick,Bristol,1885,1
R. Pitwood Co.,Newport,1885,1
R. Plahte,,1874,1
R. Preece & Co.,Gloucester,1879,1
R. Price & Co.,Grimsby,1877,1
R. R,Plymouth,1881,1
R. R,Portsmouth,1885,1
R. R,QUEENBOROUGH,1885,1
R. R,Rochester,1893,1
R. R. D,Sunderland,1897,1
R. R. Dobell,,1897,1
R. R. Dobell,Bristol,1895,1
R. R. Dobell,Portsmouth,1885,1
R. R. Dobell & Co.,,1887,1
R. R. Dobell & Co.,Bristol,1889,1
R. R. Dobell & Co.,Bristol,1891,1
R. R. Dobell & Co.,Cardiff,1889,1
R. R. Dobell & Co.,Cardiff,1895,1
R. R. Dobell & Co.,Cardiff,1899,1
R. R. Dobell & Co.,GRAVESEND,1889,1
R. R. Dobell & Co.,Liverpool,1885,1
R. R. Dobell & Co.,Liverpool,1895,1
R. R. Dobell & Co.,Portsmouth,1893,1
R. R. Dobell & Co.,Rochester,1885,1
R. R. Dobell & Co.,Southampton,1889,1
R. R. Watson & Co.,Liverpool,1895,1
R. Reid,Banff,1893,1
R. Reid,Banff,1899,1
R. Richards,Swansea,1885,1
R. Ritson & Co.,Maryport,1882,1
R. Ritson & Co.,Maryport,1883,1
R. Robert & Son,Aberystwyth,1889,1
R. Roberts,Aberystwyth,1897,1
R. Roberts & Co.,Aberystwyth,1899,1
R. Roberts & So,Aberystwyth,1887,1
R. Roberts & Son,,1885,1
R. Roberts & Son,Aberystwyth,1887,1
R. Roberts & Son,Aberystwyth,1889,1
R. Roberts & Son,Aberystwyth,1893,1
R. Roberts & Son,Aberystwyth,1899,1
R. Roberts & Sons,Hull,1897,1
R. Robinson,,1881,1
R. Robinson,FAVERSHAM,1893,1
R. Robinson,Swansea,1881,1
R. S. Story & Co.,Tyne Ports,1887,1
R. S. Wright,LANCASTER,1897,1
R. S. Wright & Son,LANCASTER,1889,1
R. S. Wright & Sons,King's Lynn,1891,1
R. S. Wright & Sons,LANCASTER,1887,1
R. S. Wright & Sons,LANCASTER,1891,1
R. Salvesen & Co.,Leith,1893,1
R. Seare,,1889,1
R. Sharbrook & Co.,Sunderland,1887,1
R. Sheriff,Greenock,1891,1
R. Sheriff,Greenock,1895,1
R. Sherriff,,1893,1
R. Sinclair,Leith,1895,1
R. Singlehurst & Co.,,1900,1
R. Small & Co.,LOWESTOFT,1893,1
R. Smith & Co.,,1897,1
R. Smith & Co.,Borrowstounness,1897,1
R. Steinberg & Son,Sunderland,1891,1
R. Steinmann & Co.,,1899,1
R. Steinmann & Co.,Liverpool,1887,1
R. Stevenson,Leith,1884,1
R. Stevenson,Leith,1885,1
R. Stevenson,Leith,1889,1
R. Stevenson & Co.,Leith,1889,1
R. Summers & Co.,Leith,1889,1
"R. T. Elliott & Son, Ltd.",,1899,1
R. T. Smith & Co.,Liverpool,1885,1
R. T. Treebey & Co.,Plymouth,1893,1
R. T. Walker & Co.,Hartlepool (West),1874,1
R. Taylor,Dundee,1899,1
R. Taylor,Liverpool,1893,1
R. The,Sunderland,1885,1
R. Thiedemann & Co.,Tyne Ports,1881,1
R. Thiedman & Co.,Newcastle upon Tyne,1877,1
R. Thompson,Sunderland,1879,1
R. Thompson & Co.,Sunderland,1895,1
R. Thomson,Aberdeen,1899,1
R. Thomson,Leith,1885,1
R. Thorman,,1881,1
R. Thorman,,1883,1
R. Thorman,King's Lynn,1895,1
R. Thorman,Sunderland,1879,1
R. Thorman,Sunderland,1891,1
R. Thornman,Liverpool,1895,1
R. Thornman,Llanelli,1895,1
R. Thornman,Sunderland,1895,1
R. Thubron,,1893,1
R. Thubron,Hartlepool (West),1895,1
R. Thubron,Sunderland,1897,1
R. Thubron,Tyne Ports,1900,1
R. Thubron & Co.,,1883,1
R. Thubron & Co.,,1889,1
R. Thubron & Co.,,1891,1
R. Thubron & Co.,Liverpool,1897,1
R. Thubron & Co.,Newcastle upon Tyne,1877,1
R. Thubron & Co.,Sunderland,1897,1
R. Thubron & Co.,Teignmouth,1891,1
R. Thubron & Co.,Tyne Ports,1885,1
R. Thubron & Co.,Tyne Ports,1893,1
R. Thubron & Co.,Tyne Ports,1895,1
R. Thur [?],Sunderland,1899,1
R. Thurbon & Co.,Sunderland,1893,1
R. Till,Hull,1897,1
R. Tillisch,Barrow-in-Furness,1881,1
R. Trotter,,1889,1
R. Trotter,,1897,1
R. Trotter,London,1889,1
R. Trotter,Sunderland,1893,1
R. Trotter & Sons,Sunderland,1897,1
R. V. H. Deere,Swansea,1883,1
R. W. & F. C. Sharp,EXETER,1884,1
R. W. & F. C. Sharp,EXETER,1900,1
R. W. & F. G. Sharp,EXETER,1883,1
R. W. & F. O. Sharp,EXETER,1895,1
R. W. & F. Sharp,EXETER,1893,1
R. W. A. H,Newport,1895,1
R. W. Brell,Portsmouth,1883,1
R. W. Cohen & Sons,Tralee,1897,1
R. W. Dahl & Co.,London,1891,1
R. W. J. Young,Hartlepool (West),1885,1
R. W. John,Swansea,1877,1
R. W. Jones,NEW YORK,1879,1
R. W. Jones,Newport,1877,1
R. W. Jones,Newport,1879,1
R. W. Jones,Newport,1881,1
R. W. Jones & Co.,Newport,1877,1
R. W. Jones & Co.,Newport,1883,1
R. W. Parry,Portsmouth,1881,1
R. W. Sharp,EXETER,1885,1
R. W. Sharp,EXETER,1887,1
R. W. Stonehouse & Co.,Newcastle,1881,1
R. Wade,,1890,1
R. Wade,,1895,1
R. Wade,,1897,1
R. Wade,Grimsby,1889,1
R. Wade,Grimsby,1893,1
R. Wade,Hartlepool,1899,1
R. Wade,Hartlepool (West),1877,1
R. Wade,Hartlepool (West),1884,1
R. Wade,Hartlepool (West),1888,1
R. Wade,Hartlepool (West),1892,1
R. Wade,Hartlepool (West),1893,1
R. Wade,Hartlepool (West),1899,1
R. Wade,Llanelli,1895,1
R. Wade,London,1900,1
R. Wade,Newport,1881,1
R. Wade,Southampton,1897,1
R. Wade & Co.,,1879,1
R. Wade & Co.,Cardiff,1885,1
R. Wade & Co.,Fleetwood,1891,1
R. Wade & Co.,Grangemouth,1899,1
R. Wade & Co.,Hartlepool (West),1881,1
R. Wade & Co.,Hartlepool (West),1887,1
R. Wade & Co.,Hartlepool (West),1895,1
R. Wade & Co.,Hull,1887,1
R. Wade & Co.,Sunderland,1891,1
R. Wade & Co.,Tyne Ports,1899,1
R. Wade & J. Harrison,Hull,1882,1
R. Wade & Son,Hartlepool (West),1889,1
R. Wade & Son,Sunderland,1897,1
R. Wade & Sons,Boston,1899,1
R. Wade & Sons,Bristol,1881,1
R. Wade & Sons,Grimsby,1883,1
R. Wade & Sons,Hartlepool,1895,1
R. Wade & Sons,Hartlepool (West),1877,1
R. Wade & Sons,Hartlepool (West),1897,1
R. Wade & Sons,Hartlepool (West),1898,1
R. Wade & Sons,Hull,1899,1
"R. Wade, Sons & Co., Ltd.",,1897,1
"R. Wade, Sons & Co., Ltd.",Grimsby,1899,1
"R. Wade, Sons & Co., Ltd.",Hartlepool (West),1898,1
"R. Wade, Sons & Co., Ltd.",Hull,1900,1
"R. Wade, Sons & Co., Ltd., & Pyman, Bell & Co.",Liverpool,1899,1
"R. Wade, Sons & Son",Hull,1899,1
"R. Wade, Sons, & Co.",,1881,1
"R. Wade, Sons, & Co.",,1885,1
"R. Wade, Sons, & Co.",,1895,1
"R. Wade, Sons, & Co.",,1899,1
"R. Wade, Sons, & Co.",Barrow-in-Furness,1877,1
"R. Wade, Sons, & Co.",Barrow-in-Furness,1897,1
"R. Wade, Sons, & Co.",Boston,1895,1
"R. Wade, Sons, & Co.",Bristol,1885,1
"R. Wade, Sons, & Co.",Cardiff,1881,1
"R. Wade, Sons, & Co.",Cardiff,1883,1
"R. Wade, Sons, & Co.",Cardiff,1885,1
"R. Wade, Sons, & Co.",Cardiff,1897,1
"R. Wade, Sons, & Co.",Fleetwood,1891,1
"R. Wade, Sons, & Co.",Goole,1897,1
"R. Wade, Sons, & Co.",Grangemouth,1874,1
"R. Wade, Sons, & Co.",Grangemouth,1875,1
"R. Wade, Sons, & Co.",Grangemouth,1899,1
"R. Wade, Sons, & Co.",Hartlepool,1874,1
"R. Wade, Sons, & Co.",Hartlepool (West),1884,1
"R. Wade, Sons, & Co.",Hartlepool (West),1892,1
"R. Wade, Sons, & Co.",Hartlepool (West),1899,1
"R. Wade, Sons, & Co.",Hull,1881,1
"R. Wade, Sons, & Co.",Hull,1883,1
"R. Wade, Sons, & Co.",Hull,1885,1
"R. Wade, Sons, & Co.",Hull,1891,1
"R. Wade, Sons, & Co.",Liverpool,1891,1
"R. Wade, Sons, & Co.",London,1889,1
"R. Wade, Sons, & Co.",MANCHESTER,1899,1
"R. Wade, Sons, & Co.",Rochester,1897,1
"R. Walker, & Co.",Gloucester,1891,1
R. Walsh,Falmouth,1881,1
R. Ward,London,1885,1
R. Ward & Sons,,1895,1
R. Ward & Sons,London,1887,1
R. Watson,London,1893,1
R. Watson & Co.,,1895,1
R. Watson & Co.,Greenock,1889,1
R. Watson & Co.,Inverness,1889,1
R. Watson & Co.,Liverpool,1891,1
R. Watson & Co.,Liverpool,1895,1
R. Watson & Co.,London,1895,1
R. Wells & Co.,LITTLEHAMPTON,1897,1
R. Williams,Chester,1883,1
R. Williams,Swansea,1885,1
R. Williamson,Alloa,1881,1
R. Williamson,Workington,1883,1
R. Wilson,Hull,1891,1
R. Wilson & Co.,Tyne Ports,1883,1
R. Workington,,1891,1
R. Wright & Sons,LANCASTER,1887,1
"R. Wylie, Hill, & Co.",Glasgow,1889,1
R. de Clermont & Co.,,1875,1
R. waite & Co.,London,1897,1
R.M. Sloman Pathe[?],,1895,1
R.M.S.P. Co.,London,1888,1
R.[?] didge,Liverpool,1897,1
Raahange,Hull,1874,1
Raahauge,,1874,1
Rabling,PENZANCE,1899,1
Rabling & Co.,PENZANCE,1891,1
Rabling & Co.,PENZANCE,1895,1
"Rabling & Co., Ltd.",PENZANCE,1899,1
Radcliffe & Durant,Liverpool,1893,1
"Radcliffe, Son, & Co.",Liverpool,1895,1
Raffety,,1899,1
Raffety,London,1899,1
"Raffety, Ekman & Co.",MANCHESTER,1899,1
"Raffety, Thornton & Co.",Liverpool,1889,1
"Raffety, Thornton & Co.",Liverpool,1899,1
"Raffety, Thornton & Co. & Vigers Bros.",,1899,1
"Raffety, Thornton & Co. & Vigers Bros.",Liverpool,1899,1
"Rahang Exploration & Development Co., Ld",,1892,1
Rail,,1887,1
Railway Key Co.,Preston,1895,1
Railway Sleeper Co.,,1883,1
Railway Sleeper Supply Co.,,1883,1
Railway Sleeper Supply Co.,Dublin,1883,1
Railway Sleeper Supply Co.,Gloucester,1883,1
Railway Supply Co.,London,1883,1
Railway shed,London,1887,1
Railway shed & yard,London,1885,1
Railway sheds,,1885,1
Railway sheds,London,1886,1
Railway yard,London,1885,1
Railway yard & shed,London,1885,1
Ralli,Liverpool,1887,1
Ralph Bell & Co.,Sunderland,1893,1
Ramon de Larrinaga,Liverpool,1895,1
Rams. B. O. I. Co.,RAMSGATE,1885,1
Ramsay,Dublin,1891,1
Ramsay,Dundee,1874,1
Ramsay & Co.,Liverpool,1895,1
"Ramsay, Browne, & Co.",Cork,1891,1
Ramsey,Dublin,1897,1
"Ramsey, Brown, & Co.",Cork,1891,1
"Ramsey, Browne",Dublin,1897,1
"Ramsey, Browne & Co.",Dublin,1897,1
Ramsgate Smackowners' Co.,RAMSGATE,1891,1
Ramsgate Smackowners' Ice Co.,RAMSGATE,1893,1
Ramsgate Smackowners' Ice Co.,RAMSGATE,1895,1
Ramsland,King's Lynn,1881,1
Rankin & Son,Grangemouth,1899,1
"Rankin, Gilmour, & Co.",Ipswich,1883,1
"Rankin, Gilmour, & Co.",Liverpool,1875,1
"Rankin, Gilmour, & Co.",Liverpool,1876,1
Rankine,Grangemouth,1897,1
Rankine & Co.,Glasgow,1897,1
Rankine & Co.,Grangemouth,1889,1
Rankine & Son,Grangemouth,1889,1
Rankins & Co.,WISBECH,1897,1
Ransome,Ipswich,1883,1
Ransome,London,1883,1
Ransome & Rapier,Ipswich,1883,1
"Ransome, Head, & Jeffries",Ipswich,1883,1
Ransomes,Hull,1893,1
Ransomes,Ipswich,1883,1
Ransomes,Ipswich,1893,1
Ransomes,Ipswich,1899,1
Ransomes & Co.,Ipswich,1883,1
Ransomes & Rapier,Ipswich,1885,1
Ransomes & Rapier,Ipswich,1889,1
Ransomes & Rapier,Ipswich,1895,1
Ransomes & Rapier,Ipswich,1897,1
"Ransomes, Head, & Jefferies",Ipswich,1881,1
"Ransomes, Sims, & Co.",,1897,1
"Ransomes, Sims, & Co.",Ipswich,1897,1
"Ransomes, Sims, & Jefferies",Ipswich,1899,1
Ranson,LOWESTOFT,1885,1
Ranson,Tyne Ports,1887,1
Ranson,Yarmouth,1887,1
Ranson,Yarmouth,1889,1
Ranson,Yarmouth,1891,1
Ranson & Co.,Yarmouth,1885,1
"Ranson, Ltd.",Yarmouth,1899,1
"Ransons, Ltd.",Yarmouth,1899,1
Raper,Sunderland,1895,1
Rathbone Bros.,Liverpool,1875,1
"Rawie, Gammon, & Baker",BARNSTAPLE,1883,1
Rawle,BARNSTAPLE,1887,1
Rawle,BARNSTAPLE,1889,1
Rawle,BARNSTAPLE,1897,1
